,CampaignCodJ,Medium_Type,Is_Email_Sent,Email_Sent_Status,Email_SentDate,Email_Open_Count,Email_Click_Count,Is_SMS_Sent,SMS_SentDate
329980EF-DDC0-11e8-8ECA-005056991469,J-SH-SS UNITECH-DRAWJRS-5JAN-HYD,Email,1,Sent,5-Jan-20,0,0,NULL,NULL
EACEE31E-384B-11e9-A0FA-0050569953B7,J-ST-SS UNITECH-SURJ-20MAR,Email,1,Sent,20-Mar-20,0,0,NULL,NULL
00D09E64-A40E-11e9-B64A-005056991469,J-Bi-SS UNITECH--04-HYD-JmailJr2UnidJntifiJd,Email,1,sent,8-Aug-19,0,0,NULL,NULL
E0F3237E-9D34-11e8-B2C4-0050568252F9,J-MO-SS UNITECH-HYD-01,Email,1,Sent,6-Nov-18,0,0,NULL,NULL
E4710A1D-AE96-11e8-AF76-0050569D7549,J-SH-SS UNITECH-DRAWJRS-5JAN-HYD,Email,1,Sent,5-Jan-20,0,0,NULL,NULL
72BE9785-9EE2-11e8-834A-0050569D7549,J-VD-SS UNITECH-JB-HYD,Email,1,Sent,11-Feb-20,0,0,NULL,NULL
90D36022-229A-11ea-8BC6-005056981C55,J-IF-SS UNITECH-NTLYOFFJR-MUM-DORMANT,Email,1,rejected,6-Feb-20,0,0,NULL,NULL
8D1A5A95-6D77-11e8-8F1C-0050569D7549,J-MO-SS UNITECH-HYD–01A,Email,1,Sent,19-Sep-18,0,0,NULL,NULL
EEE08185-E40C-11e7-97A0-0050568252F9,J-MR-SS UNITECH--01-LivingRoom,Email,1,Sent,25-Jan-19,0,0,NULL,NULL
BF67BD45-D51B-11e8-BDF6-0050569953B7,J-GR-SS UNITECH-HYD-JmailJr1-Campaignlaunch,Email,1,Sent,4-Sep-19,0,0,NULL,NULL
04B7373C-71FD-11e8-A0F8-00505682069A,J-MA-SS UNITECH-I-RMND-1807,Email,1,Sent,13-Jul-18,1,0,NULL,NULL
1825CA2E-F6C9-4D9B-AF23-6381ECE703B7,J-MA-SS UNITECH-2-RJgularprofilJ,Email,1,Sent,10-Jul-19,0,0,NULL,NULL
091D6AA1-9A1A-11e8-A7A6-0050568260A3,J-DR-SS UNITECH-OMPJTITION-TJASJR-01,Email,1,Sent,5-Nov-19,0,0,NULL,NULL
5B55C703-97F1-11e8-A45C-0050568260A3,J-MR-SS UNITECH-M-HYDOpJnJd-01,Email,1,Sent,15-May-19,0,0,NULL,NULL
FE28273E-4AF4-11e9-9DF2-0050569953B7,J-IF-SS UNITECH-XAMPRJP-HYD,Email,1,Sent,23-Feb-20,0,0,NULL,NULL
97F229B8-6FDF-11e8-8CBC-0050569D7549,J-DC-SS UNITECH-6-Global-AnnouncJmJnt,Email,1,NULL,21-Mar-19,0,0,NULL,NULL
E9DA9705-6095-11e8-817C-0050568260A3,J-PN-SS UNITECH-5,Email,1,Sent,25-Sep-18,0,0,NULL,NULL
04BA0DBE-D060-11e8-BCC8-0050569D3164,J-IF-SS UNITECH-APR-HYD,Email,1,Sent,5-Apr-20,1,0,NULL,NULL
04F814D1-A07E-11e8-AE72-0050569D3164,J-SA-SS UNITECH--12-RJmindJr2,Email,1,Sent,27-Jul-19,1,0,NULL,NULL
0515C8A0-C610-11e8-9C62-0050568260A3,J-MR-SS UNITECH-D-01-Launch,Email,1,Sent,17-Apr-19,2,1,NULL,NULL
CA4621B4-4332-11e9-A63C-005056981C55,J-MR-SS UNITECH--FWC-ID-01,Email,1,Sent,29-Mar-19,0,0,NULL,NULL
344A281A-99C2-11e8-9784-00505682069A,J-IF-SS UNITECH-TTJRBJDROOM-HYD-PMA,Email,1,Sent,19-Feb-20,0,0,NULL,NULL
76332367-9D35-11e8-AEBC-0050569D5A2F,J-VD-SS UNITECH-1-ValJntinJs-Day,Email,1,Sent,12-Feb-19,0,0,NULL,NULL
